,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,negative_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review,positive_review
,total,NORP,LOC,PHONE,FAC,PERCENT,PERSON,EVENT,ORG,TIME,WORK_OF_ART,DATE,LAW,MONEY,GPE,PRODUCT,POSTCODE,LANGUAGE,total,NORP,LOC,PHONE,FAC,PERCENT,PERSON,EVENT,ORG,TIME,WORK_OF_ART,DATE,LAW,MONEY,GPE,PRODUCT,POSTCODE,LANGUAGE
k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8510997723597097,0.8609753858508544,0.9335806788117501,1.0,0.9847250551799224,0.9444444444444444,0.9858611970320887,0.9948074974670719,0.9552310576594685,0.8865673914975483,0.9966101694915255,0.8537373024250525,1.0,0.9842275684056777,0.5778291117501738,0.9793415792103949,1.0,0.27862147798996656,0.8257209886357061,0.8613372727070256,0.9339591080823931,,0.9050207310009506,0.9285714285714286,0.9968443605044233,0.9765862023479752,0.9568424842585188,0.8722852948008905,0.9921652421652422,0.8956878935635901,1.0,0.9900569800569802,0.5284115102395401,0.9775725940721952,1.0,0.4620728463263623
3,0.936642864001028,0.9501763894627767,0.9829494278331485,1.0,0.998705555517446,1.0,0.9987513732962544,1.0,0.9898874430278877,0.9605419581205303,1.0,0.9415420471377679,1.0,0.9995177305569477,0.7955515489534842,1.0,1.0,0.63084424220502,0.927957063108842,0.964354538520146,0.9804676966531235,,0.9777277265336128,1.0,0.9994720025993717,1.0,0.9856168871348954,0.9624900925914143,1.0,0.9606530859100325,1.0,0.9993487993487995,0.7607241792659158,0.9929940555444327,1.0,0.7866551832712863
4,0.9711283293218014,0.9808431961781475,0.9968992248062015,1.0,1.0,1.0,0.9999041911285061,1.0,0.9960205388232369,0.9850132688209884,1.0,0.9755062123915076,1.0,1.0,0.9018278968840738,1.0,1.0,0.7780351910452749,0.969288567706937,0.9923140404663111,0.9945120126582909,,0.9944594518897493,1.0,1.0,1.0,0.9949666285810772,0.9888179884944281,1.0,0.9834103287693164,1.0,1.0,0.8825518373732317,1.0,1.0,0.9060260043340559
5,0.9817762495495141,0.9949730312837107,1.0,1.0,1.0,1.0,1.0,1.0,0.9996145234359323,0.9929283289617408,1.0,0.9864101690728111,1.0,1.0,0.9377895728305835,1.0,1.0,0.8103029610791052,0.9787549505316563,0.9957120991480927,0.9990386265607426,,0.9971422451778269,1.0,1.0,1.0,0.9971113854193936,0.9952844708055255,1.0,0.9945834199754728,1.0,1.0,0.9234512226203551,1.0,1.0,0.8593307217869646
10,0.9954594255577596,0.9992439897120755,1.0,1.0,1.0,1.0,1.0,1.0,0.9991710745711083,0.997426103184606,1.0,0.9952330087983221,1.0,1.0,0.9846048858663872,1.0,1.0,0.9764838556505224,0.9912403468926949,0.9995040527174284,1.0,,0.9999077228038598,1.0,1.0,1.0,0.9994864355767212,0.998833672912782,1.0,0.9978634774985927,1.0,1.0,0.9691487538671936,1.0,1.0,0.899442743381207
20,0.9980354214331424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991928544783069,1.0,0.9993464829611486,1.0,1.0,0.9979661661405081,1.0,1.0,0.968777557319224,0.9986393381462358,1.0,1.0,,1.0,1.0,1.0,1.0,0.9998576512455516,1.0,1.0,0.999560693548517,1.0,1.0,0.9948303851987854,1.0,1.0,0.9836861699172085
50,0.9997590916397509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997215024618566,1.0,0.9997481520520141,1.0,1.0,1.0,1.0,1.0,0.9937444885361552,0.9996428493045787,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998284651252689,1.0,1.0,0.9987863905265401,1.0,1.0,0.9964827471245209
