,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
,total,URL,PERSON,MAIL,GPE,MONEY,TIME,LOC,PHONE,LANGUAGE,PERCENT,NORP,WORK_OF_ART,PRODUCT,FAC,EVENT,DATE,ORG,POSTCODE,LAW
k,,,,,,,,,,,,,,,,,,,,
2,0.909919633343553,0.9983736005494682,0.9888829099714809,0.9978958442924777,0.9771082485554275,0.9933814174561066,0.8588439301354294,0.9900379633242975,1.0,0.9033622726957574,0.978520996195159,0.9610883334724618,0.9959960490667212,0.9977483373123142,0.9988532253875971,0.9926961663192775,0.7690192406755665,0.9934837263113867,1.0,0.9978714802224976
3,0.9713131092399965,0.9999879402745644,0.9992740611782696,1.0,0.9979584183954987,0.999736516069681,0.9617474904045045,0.9993708712817659,1.0,0.9820709463132032,0.9986910119476429,0.9959454878754314,0.9999089807861286,0.9999703568698937,0.9999950226742076,0.9999085491411991,0.9189582211618162,0.9995663246232547,1.0,1.0
4,0.9871159212526638,1.0,0.9998741206838431,1.0,0.9997764683603405,0.9999848259118248,0.9851088694462424,1.0,1.0,0.995915515460139,0.9998781994939427,0.9993349148557744,0.9999931173808424,1.0,1.0,1.0,0.9620578519712083,0.9999615289924704,1.0,1.0
5,0.9933749405903546,1.0,0.9999858458460023,1.0,0.9999477594801401,0.9999955857198036,0.9934319096879741,1.0,1.0,0.9993252361673414,1.0,0.999807326265944,1.0,1.0,1.0,1.0,0.9801354926025859,0.999993593934277,1.0,1.0
10,0.9992754176687907,1.0,1.0,1.0,1.0,1.0,0.9992927802679781,1.0,1.0,1.0,1.0,0.9999775996654884,1.0,1.0,1.0,1.0,0.9976964011934144,1.0,1.0,1.0
20,0.9999203641571894,1.0,1.0,1.0,1.0,1.0,0.9999543893983567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997113782441555,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
